Case,C (GPa),dP/dh (N/m),Wp/Wt,hm (um),Pm (N),Er (GPa),sy (GPa)
0,142.5320446,192671.9251,0.705591226,0.251284143,0.009000004,109.63,1.151
1,137.5974231,203204.785,0.718893623,0.255750708,0.009000031,109.63,1.151
2,131.7770788,199441.9817,0.715383327,0.261337654,0.009000028,109.63,1.151
3,131.9013452,208445.7352,0.730405734,0.261214704,0.009000041,109.63,1.151
4,148.5622644,196801.6226,0.701137953,0.246131786,0.009000029,109.63,1.151
5,144.7004077,194727.2425,0.716073351,0.249394569,0.009000025,109.63,1.151
6,141.535322,204199.3178,0.728980167,0.252167794,0.009000032,109.63,1.151
7,144.5347113,198306.5534,0.708159195,0.249537335,0.009000015,109.63,1.151
8,134.5214153,198825.22,0.712115404,0.258657965,0.009000013,109.63,1.151
9,143.286876,193537.4455,0.710862286,0.250621596,0.009000018,109.63,1.151
10,143.1682733,202437.5368,0.72629833,0.250725499,0.009000027,109.63,1.151
11,144.9932657,193832.0511,0.715399333,0.249142483,0.009000019,109.63,1.151
12,142.5332472,195846.2009,0.712796159,0.251283347,0.009000023,109.63,1.151
13,148.1070573,193411.3853,0.70527135,0.246509256,0.008999994,109.63,1.151
14,141.9186998,197630.6588,0.719372992,0.251826999,0.009000035,109.63,1.151
15,152.0960297,191332.155,0.71294307,0.243255341,0.009000003,109.63,1.151
16,145.6778402,197545.2421,0.718697336,0.2485563,0.009000011,109.63,1.151
17,149.9777419,190638.6518,0.714485784,0.244967332,0.009000013,109.63,1.151
18,151.7664063,202154.401,0.711660482,0.243519549,0.009000017,109.63,1.151
19,151.1806826,194781.6112,0.700607363,0.243990669,0.009000005,109.63,1.151
20,144.9356219,198374.7059,0.715185766,0.24919258,0.009000059,109.63,1.151
21,140.8532661,201374.3425,0.712828429,0.252777395,0.009000018,109.63,1.151
22,146.3040037,206178.09,0.718131275,0.248023717,0.009000003,109.63,1.151
23,140.4643604,193635.9702,0.708882146,0.253126753,0.008999994,109.63,1.151
24,109.4511436,197077.4894,0.706188635,0.286755477,0.009000026,109.63,1.151
25,109.8774526,200722.8624,0.72698068,0.286198514,0.009000017,109.63,1.151
26,148.5609062,199061.266,0.719700395,0.246132963,0.009000033,109.63,1.151
27,138.9187226,194838.8098,0.717144416,0.25453173,0.009000044,109.63,1.151
28,147.7475274,192637.3673,0.711239938,0.246809423,0.009000025,109.63,1.151
29,147.5695461,199251.9682,0.717766927,0.246958364,0.009000035,109.63,1.151
30,145.4371666,191448.9808,0.69690796,0.248761595,0.008999991,109.63,1.151
31,133.7659353,199987.2814,0.720457735,0.259387444,0.009000019,109.63,1.151
32,159.5682456,193637.0124,0.705099022,0.237491686,0.009000016,109.63,1.151
33,147.4890778,195901.8302,0.705514472,0.247025316,0.009000006,109.63,1.151
34,144.6725999,201245.7172,0.716195806,0.249418278,0.009000007,109.63,1.151
35,142.5127384,196861.3356,0.716685694,0.251301434,0.009000023,109.63,1.151
36,145.3927621,197989.7561,0.71961945,0.248800108,0.009000029,109.63,1.151
37,141.6388838,199000.2592,0.720116072,0.252075403,0.009000019,109.63,1.151
38,140.0442412,201015.8938,0.728314249,0.253506937,0.009000051,109.63,1.151
39,142.8295716,206439.3308,0.721723018,0.251022558,0.009000023,109.63,1.151
40,141.6082555,197130.9381,0.713807031,0.252102484,0.009000007,109.63,1.151
41,155.7981401,190987.5261,0.696293182,0.240347882,0.009000007,109.63,1.151
42,141.6075299,196577.2115,0.711828217,0.252103365,0.009000023,109.63,1.151
43,145.7827708,195532.8793,0.726045917,0.248467003,0.009000023,109.63,1.151
44,153.794082,196269.7509,0.699901597,0.241908737,0.009000005,109.63,1.151
45,5.690346571,201935.7095,0.753165839,1.25762822,0.009000016,109.63,1.151
