Case,C (GPa),dP/dh (N/m),Wp/Wt,hm (um),Pm (N),Er (GPa),sy (GPa)
0,157.5398324,193559.4298,0.692562359,0.239015744,0.009000018,109.63,1.121
1,133.0577705,203446.6071,0.735045147,0.26007655,0.009000003,109.63,1.121
2,144.6854951,199288.8501,0.719496107,0.249407748,0.009000049,109.63,1.121
3,146.2404114,201837.9604,0.727095742,0.248078166,0.009000041,109.63,1.121
4,147.7858394,197541.5724,0.701588322,0.246777375,0.009000021,109.63,1.121
5,135.6841524,196718.0783,0.731936675,0.257546943,0.008999988,109.63,1.121
6,135.7625779,198651.1526,0.728776764,0.257472481,0.008999983,109.63,1.121
7,141.5330386,201055.948,0.719661204,0.25216956,0.009000013,109.63,1.121
8,143.6298189,197718.6793,0.720479369,0.250321515,0.008999968,109.63,1.121
9,135.5988152,201774.5011,0.732515289,0.25762831,0.009000012,109.63,1.121
10,126.5966526,208949.9796,0.757197567,0.266631206,0.009000035,109.63,1.121
11,125.2670007,203138.7033,0.730890427,0.268042744,0.009000047,109.63,1.121
12,140.1055968,201311.5389,0.712588874,0.253450996,0.00900002,109.63,1.121
13,132.6774168,198032.0625,0.72527244,0.260449992,0.009000066,109.63,1.121
14,132.1348283,202806.7177,0.729979965,0.260983417,0.009000013,109.63,1.121
15,142.7101543,202034.1124,0.72419409,0.251127162,0.008999995,109.63,1.121
16,138.4797747,201494.6343,0.718165825,0.254933894,0.008999979,109.63,1.121
17,141.6594598,203208.5371,0.71676102,0.252057205,0.009000027,109.63,1.121
18,127.8081375,202672.661,0.728640162,0.26536489,0.00900006,109.63,1.121
19,141.9221585,206500.0506,0.724783936,0.251823253,0.008999987,109.63,1.121
20,127.7218607,201114.2716,0.736067572,0.265454068,0.009000031,109.63,1.121
21,148.8697933,199404.1122,0.722148371,0.245877097,0.009000005,109.63,1.121
22,136.0371814,203536.4068,0.732315139,0.257213074,0.009000025,109.63,1.121
23,144.6194286,195692.2999,0.704630602,0.249464657,0.009000045,109.63,1.121
24,129.9615225,206897.1439,0.732668992,0.263156975,0.009000043,109.63,1.121
25,127.5514603,200769.3835,0.726326679,0.265631442,0.009000039,109.63,1.121
26,129.1957594,199157.7409,0.735894231,0.263935332,0.009000017,109.63,1.121
27,155.1487527,197950.017,0.714021745,0.240850804,0.009000041,109.63,1.121
28,144.6697706,199194.8307,0.725588064,0.249420529,0.008999993,109.63,1.121
29,126.3830952,209142.1273,0.741150971,0.266856038,0.009000011,109.63,1.121
30,150.8573373,201171.8645,0.721953537,0.244252493,0.00900004,109.63,1.121
31,130.9120418,200955.1917,0.732174686,0.26219985,0.009000041,109.63,1.121
32,143.4112387,202939.234,0.706816369,0.250513068,0.00900003,109.63,1.121
33,129.6675508,210330.7144,0.744212798,0.263454804,0.009000022,109.63,1.121
34,142.5070316,203912.4456,0.726098903,0.251306132,0.008999999,109.63,1.121
35,149.1239593,198207.2878,0.707388074,0.245667549,0.00900001,109.63,1.121
36,135.9630858,201143.0362,0.725631446,0.257283196,0.009000028,109.63,1.121
37,135.1000758,199757.0594,0.713549902,0.258103409,0.009000012,109.63,1.121
38,132.5915648,194493.4951,0.717387577,0.260533629,0.00900002,109.63,1.121
39,141.2953438,196542.9578,0.719108991,0.252381062,0.008999977,109.63,1.121
40,129.8231711,203871.273,0.731431358,0.263296972,0.00900003,109.63,1.121
41,132.1543794,202135.3156,0.743775456,0.260964117,0.009000013,109.63,1.121
42,137.7297318,198100.7785,0.733958941,0.255627974,0.00900004,109.63,1.121
43,134.9356037,209293.714,0.734962793,0.258260805,0.009000022,109.63,1.121
44,121.6821072,208977.9773,0.746443209,0.271962269,0.009000032,109.63,1.121
45,121.3271663,209433.681,0.73924795,0.272359503,0.009000013,109.63,1.121
46,138.6112821,198366.6274,0.730070104,0.254813903,0.009000048,109.63,1.121
47,133.6189312,198783.2676,0.723073387,0.259530271,0.009000032,109.63,1.121
48,134.0305258,202759.2639,0.723313486,0.259131213,0.009000014,109.63,1.121
49,134.8091524,197857.6837,0.719260677,0.258382044,0.009000032,109.63,1.121
50,147.1516629,202461.7761,0.717742133,0.247308394,0.009000008,109.63,1.121
51,132.3033355,200447.3081,0.728651982,0.260817311,0.009000023,109.63,1.121
52,139.7524583,198425.5418,0.718205359,0.253770776,0.009000003,109.63,1.121
53,132.8105788,198101.7732,0.718332727,0.260318929,0.009000034,109.63,1.121
54,136.5796701,203520.1034,0.733730546,0.25670122,0.008999988,109.63,1.121
55,134.858138,199993.8181,0.719944196,0.258334837,0.009000012,109.63,1.121
56,144.2432084,198166.1888,0.710853238,0.249789534,0.009000028,109.63,1.121
57,128.6313717,197770.8879,0.720920413,0.264513786,0.009000021,109.63,1.121
58,151.0477085,199266.8593,0.714872473,0.244098319,0.009000025,109.63,1.121
59,124.8747782,208882.4942,0.735322239,0.268462602,0.008999996,109.63,1.121
60,134.80266,203575.9413,0.727088133,0.258388506,0.009000048,109.63,1.121
61,140.8918625,196127.8849,0.705579692,0.252742892,0.009000027,109.63,1.121
62,115.9225946,206474.4302,0.741303681,0.278636693,0.009000046,109.63,1.121
63,126.6150108,203976.1614,0.740823414,0.266612211,0.009000057,109.63,1.121
64,137.0124261,200463.9811,0.717906106,0.256295416,0.008999982,109.63,1.121
65,135.3267,200154.2702,0.719417782,0.257887008,0.008999998,109.63,1.121
66,134.7909168,195662.3105,0.72547879,0.25839964,0.00900004,109.63,1.121
67,146.2112107,201624.8902,0.722084415,0.248102985,0.009000044,109.63,1.121
68,131.943917,202190.5617,0.730072678,0.261172425,0.009000031,109.63,1.121
69,133.1466132,202191.8372,0.740203693,0.259990132,0.009000028,109.63,1.121
70,131.2503447,202525.1214,0.734119362,0.26186185,0.00900005,109.63,1.121
71,131.5910509,202519.3495,0.732155959,0.261522621,0.009000049,109.63,1.121
72,133.9657466,208924.2579,0.721386978,0.259193915,0.009000018,109.63,1.121
73,132.4068592,208179.9457,0.734081222,0.260715655,0.009000045,109.63,1.121
74,137.2928913,203726.8966,0.722499037,0.25603398,0.009000016,109.63,1.121
75,131.8792708,200694.811,0.72185469,0.261236634,0.009000045,109.63,1.121
76,134.6933793,203599.7042,0.726754624,0.258493052,0.009000031,109.63,1.121
77,145.4875135,198684.7113,0.718936659,0.248718621,0.008999996,109.63,1.121
78,140.1984896,196786.084,0.718666536,0.253367089,0.009000025,109.63,1.121
79,126.4986518,206572.2621,0.725159034,0.266734227,0.009000018,109.63,1.121
80,136.9364862,200828.5376,0.718511352,0.256367324,0.009000042,109.63,1.121
