Case,C (GPa),dP/dh (N/m),Wp/Wt,hm (um),Pm (N),Er (GPa),sy (GPa)
122,92.20719988,202914.8372,0.728188682,0.312420855,0.009000049,109.63,1.121
123,99.65526866,198360.7927,0.728373632,0.300519328,0.009000053,109.63,1.121
124,103.8452837,201091.0081,0.72363085,0.294394008,0.009000046,109.63,1.121
125,98.73258669,200035.4423,0.717841232,0.301920152,0.009000046,109.63,1.121
126,93.80563639,200524.3191,0.73507453,0.309747506,0.009000043,109.63,1.121
127,99.07147601,198707.7182,0.724256176,0.301403371,0.009000048,109.63,1.121
128,91.65003677,206248.2081,0.733759737,0.313369143,0.009000054,109.63,1.121
129,93.00761323,196812.7914,0.729603199,0.311073789,0.009000059,109.63,1.121
130,106.2589228,194642.0882,0.715312967,0.291031084,0.009000034,109.63,1.121
131,88.777475,208457.8494,0.741872151,0.318397927,0.009000015,109.63,1.121
132,95.12830978,204196.7782,0.73433352,0.307585881,0.009000001,109.63,1.121
133,93.10865358,211252.628,0.729175514,0.310904636,0.00900004,109.63,1.121
134,103.1486452,204404.8226,0.724829203,0.295385942,0.009000014,109.63,1.121
135,99.5812928,202531.9754,0.73115309,0.30062981,0.008999986,109.63,1.121
136,97.63332116,197441.4551,0.713472278,0.303614955,0.009000039,109.63,1.121
137,96.49642342,203192.1704,0.730151436,0.305397305,0.008999982,109.63,1.121
138,92.49111607,205707.896,0.739037759,0.31194061,0.009000028,109.63,1.121
139,105.9257534,194118.5906,0.717353776,0.291488471,0.009000038,109.63,1.121
140,97.46734075,200783.9423,0.745932007,0.303873326,0.009000037,109.63,1.121
141,93.22775534,207431.7958,0.736504863,0.310704631,0.008999962,109.63,1.121
142,98.92357933,201230.6026,0.728944936,0.301627879,0.009000006,109.63,1.121
143,98.36787367,196338.8209,0.710647706,0.302478916,0.009000021,109.63,1.121
