Case,C (GPa),dP/dh (N/m),Wp/Wt,hm (um),Pm (N),Er (GPa),sy (GPa)
0,143.80606,195102.5753,0.723917167,0.250168611,0.009000006,109.63,1.063
1,135.4649431,198119.6724,0.727266896,0.257755793,0.009000026,109.63,1.063
2,131.2629068,201310.1603,0.73361099,0.261849114,0.009000036,109.63,1.063
3,134.0056248,202923.847,0.730233505,0.259155137,0.009000003,109.63,1.063
4,73.47646664,198420.1026,0.723322584,0.349983425,0.009000015,109.63,1.063
5,144.315516,199299.824,0.728115468,0.249726816,0.009000018,109.63,1.063
6,133.793367,201767.2521,0.721163214,0.259361024,0.009000031,109.63,1.063
7,121.8583728,199260.1409,0.726371456,0.271765894,0.009000057,109.63,1.063
8,141.4346939,198777.9391,0.718391326,0.252257386,0.009000025,109.63,1.063
9,154.2221706,189045.8851,0.700702598,0.241572876,0.009000013,109.63,1.063
10,131.768486,207395.9709,0.733201875,0.261346061,0.00900002,109.63,1.063
11,132.8195071,200614.5523,0.728516926,0.260310218,0.009000037,109.63,1.063
12,147.6361762,200466.0171,0.734579142,0.246902182,0.009000003,109.63,1.063
13,142.3266833,200659.1906,0.715754604,0.251465231,0.008999994,109.63,1.063
14,139.4568348,196146.4208,0.714188446,0.254039987,0.00900003,109.63,1.063
15,132.0724544,197169.5895,0.732129838,0.261045138,0.00900002,109.63,1.063
16,132.4667441,199225.9024,0.716640478,0.260655968,0.008999994,109.63,1.063
17,137.3476188,197793.8497,0.726737876,0.255983093,0.009000025,109.63,1.063
18,138.8710163,196718.7993,0.729495547,0.254574791,0.008999998,109.63,1.063
19,135.0033678,202509.8593,0.729142859,0.258195942,0.009000019,109.63,1.063
20,137.1999502,201623.3453,0.727634297,0.256120328,0.008999991,109.63,1.063
21,136.0042274,196872.1784,0.730348553,0.257243755,0.008999991,109.63,1.063
22,123.5817796,201777.5102,0.736863668,0.269864424,0.009000066,109.63,1.063
23,125.9478004,198335.5033,0.723714531,0.267317249,0.009000042,109.63,1.063
24,137.299331,197912.318,0.728339922,0.256027383,0.008999974,109.63,1.063
25,139.0714136,202098.9085,0.744177103,0.254391445,0.009000008,109.63,1.063
26,134.8673872,202595.5761,0.728601401,0.258326269,0.009000033,109.63,1.063
27,133.2588374,196352.9938,0.720081952,0.259880713,0.009000033,109.63,1.063
28,132.3661975,200898.6064,0.727814913,0.260755012,0.008999998,109.63,1.063
29,129.9191356,207115.6758,0.740891192,0.263199965,0.009000047,109.63,1.063
30,136.3188294,196862.0655,0.726092874,0.256947055,0.009000013,109.63,1.063
31,135.0975998,197755.3881,0.727383838,0.258105071,0.008999963,109.63,1.063
32,160.2569104,196757.8698,0.711995503,0.236980952,0.009000024,109.63,1.063
33,129.2386802,200416.1464,0.731957597,0.263891752,0.009000034,109.63,1.063
34,137.6155341,193417.0122,0.727673886,0.255733735,0.009000021,109.63,1.063
35,132.036622,202616.542,0.726374282,0.261080809,0.009000037,109.63,1.063
36,138.0611973,197897.0633,0.730585449,0.255320678,0.009000023,109.63,1.063
37,137.0374361,194009.4839,0.725006264,0.256272324,0.009000003,109.63,1.063
38,142.2467808,194865.985,0.723115312,0.251535998,0.009000005,109.63,1.063
39,124.6070124,200004.8465,0.724020755,0.268751042,0.009000006,109.63,1.063
40,135.1635829,196114.4434,0.721375634,0.25804253,0.008999995,109.63,1.063
41,133.1926704,206130.2755,0.731603105,0.259944743,0.008999998,109.63,1.063
42,144.1247261,199816.1376,0.718340894,0.249892382,0.009000042,109.63,1.063
43,140.5104576,202694.9991,0.732139445,0.253085586,0.00900002,109.63,1.063
44,131.0094181,196152.96,0.71165379,0.26210197,0.009000012,109.63,1.063
45,135.7853556,205609.2275,0.729374608,0.257451078,0.008999997,109.63,1.063
46,141.1177144,199333.7989,0.719138927,0.252540065,0.008999992,109.63,1.063
47,128.2883522,201908.7753,0.733551846,0.264867256,0.009000026,109.63,1.063
48,136.2024122,199704.7904,0.730118537,0.257057081,0.00900003,109.63,1.063
49,130.1850483,197796.0709,0.736842507,0.26293036,0.009000001,109.63,1.063
50,148.3868689,199564.7297,0.727449521,0.246276058,0.008999945,109.63,1.063
51,134.1184589,198912.8535,0.725627717,0.259046079,0.009000002,109.63,1.063
52,143.80395,191673.7155,0.71117331,0.250170751,0.009000028,109.63,1.063
53,82.0301222,203965.5261,0.736004102,0.331234476,0.00900004,109.63,1.063
54,123.0080219,212164.4249,0.753891609,0.270492527,0.00900003,109.63,1.063
55,145.7431943,199378.3689,0.727193367,0.248500511,0.009000007,109.63,1.063
56,154.4663345,191002.4626,0.717036775,0.241381737,0.009000003,109.63,1.063
57,145.9899442,194810.8088,0.713312548,0.248290607,0.009000021,109.63,1.063
58,133.5251844,195329.5973,0.717839015,0.259621173,0.009000019,109.63,1.063
59,137.7251047,201516.095,0.722165333,0.255631912,0.009000015,109.63,1.063
60,125.6412596,197824.2859,0.725982446,0.26764216,0.008999976,109.63,1.063
61,136.9741684,198677.3372,0.728387168,0.256331891,0.00900003,109.63,1.063
62,127.7305818,204203.7999,0.740850406,0.265444191,0.008999976,109.63,1.063
63,127.8320249,200343.9661,0.73145786,0.265339642,0.00900003,109.63,1.063
64,136.9756326,197953.2369,0.724705585,0.2563307,0.009000043,109.63,1.063
65,134.0426017,200813.7267,0.728614232,0.259119943,0.009000042,109.63,1.063
66,132.3950124,201341.7736,0.724848528,0.260727249,0.009000041,109.63,1.063
67,134.6470489,197339.8414,0.724285602,0.258537221,0.00900001,109.63,1.063
68,129.8128825,195181.0823,0.72838284,0.263307902,0.009000064,109.63,1.063
69,143.8805784,208628.8661,0.734072431,0.250104168,0.009000032,109.63,1.063
70,130.3424296,197348.8788,0.724634219,0.262772055,0.009000034,109.63,1.063
71,130.7064677,201845.3916,0.739866807,0.262405635,0.009000018,109.63,1.063
72,125.4974555,204213.0201,0.739040859,0.26779582,0.009,109.63,1.063
73,142.6321774,197255.7905,0.716695919,0.251196344,0.009000034,109.63,1.063
74,144.8283152,199179.2132,0.729645738,0.249284405,0.009000025,109.63,1.063
75,129.8352956,199146.3252,0.731617687,0.263283928,0.008999978,109.63,1.063
76,131.5125454,199082.2473,0.731196146,0.261600522,0.009000039,109.63,1.063
77,127.9745053,196516.9884,0.733441489,0.265191924,0.009000032,109.63,1.063
78,141.5138856,203388.1132,0.731707106,0.252186653,0.009000015,109.63,1.063
79,144.551189,199130.8236,0.715116595,0.249522885,0.008999998,109.63,1.063
80,138.4821533,197688.6975,0.720265863,0.254932337,0.009000024,109.63,1.063
81,132.8598608,196605.6147,0.727147945,0.260270921,0.009000054,109.63,1.063
82,128.0392018,204664.5583,0.728013374,0.265124986,0.009000037,109.63,1.063
83,148.4447667,198170.118,0.724456002,0.246229133,0.009000026,109.63,1.063
84,139.1347664,197591.7522,0.724733,0.254333823,0.009000029,109.63,1.063
85,140.7118005,197799.2978,0.713209829,0.252904661,0.009000035,109.63,1.063
86,130.6161558,199287.4797,0.723841704,0.262496277,0.009000014,109.63,1.063
87,129.632364,203003.8678,0.729781209,0.263490594,0.009000024,109.63,1.063
88,144.9237991,195949.0043,0.722972383,0.249202951,0.009000074,109.63,1.063
89,126.0792077,205572.1875,0.746190282,0.267177422,0.00900001,109.63,1.063
90,137.3108733,193919.4805,0.720425688,0.256017075,0.009000006,109.63,1.063
91,139.6468297,199994.0335,0.728423132,0.25386713,0.009000031,109.63,1.063
92,153.4826616,200365.5299,0.716178484,0.242154241,0.00900002,109.63,1.063
93,143.563106,199930.1188,0.718422569,0.250380145,0.009000002,109.63,1.063
