Case,C (GPa),dP/dh (N/m),Wp/Wt,hm (um),Pm (N),Er (GPa),sy (GPa)
0,88.99932044,187462.6191,0.699423449,0.318000677,0.009000006,109.63,1.168
1,104.6990623,191673.9726,0.703522348,0.293190591,0.009000007,109.63,1.168
2,100.5692418,196953.1754,0.702757991,0.299149878,0.009000007,109.63,1.168
3,98.55604988,194495.7642,0.710697475,0.302189913,0.009000015,109.63,1.168
4,101.3234457,191659.7522,0.718834058,0.298034613,0.009000018,109.63,1.168
5,97.8523267,196177.1273,0.723092637,0.303274878,0.009000032,109.63,1.168
6,96.11891153,198393.9131,0.724325927,0.305997689,0.009000054,109.63,1.168
7,98.48583513,192264.3063,0.705910456,0.302297917,0.009000033,109.63,1.168
8,94.75321749,194843.1153,0.724574489,0.308194027,0.008999998,109.63,1.168
9,101.737124,188882.7667,0.711637742,0.297428096,0.009000019,109.63,1.168
10,102.6361067,194141.404,0.716325373,0.296122813,0.009000029,109.63,1.168
11,91.77104723,198318.516,0.723304878,0.313162374,0.009000048,109.63,1.168
12,97.37617325,193835.333,0.705358035,0.30401471,0.008999987,109.63,1.168
13,83.6536911,193521.4634,0.705252204,0.328003878,0.009000012,109.63,1.168
14,97.11465487,197212.1609,0.729015497,0.304423984,0.009,109.63,1.168
15,85.55260568,199391.9368,0.726793418,0.324342942,0.008999992,109.63,1.168
16,94.08098639,193647.8691,0.722228414,0.309293485,0.009000019,109.63,1.168
17,95.93649407,196556.8364,0.731822215,0.306287432,0.008999994,109.63,1.168
18,96.33194673,197496.8905,0.726467903,0.30565821,0.008999999,109.63,1.168
19,98.3188157,193420.6685,0.716838572,0.302554537,0.00900003,109.63,1.168
20,95.92605762,195728.7777,0.723544115,0.306305031,0.009000049,109.63,1.168
21,93.40310778,192126.6328,0.716665405,0.310413665,0.00900001,109.63,1.168
22,94.52998265,198006.1242,0.721266765,0.308557829,0.009000004,109.63,1.168
23,104.953861,189301.1413,0.718879322,0.292834985,0.009000038,109.63,1.168
24,85.50351353,200129.4672,0.720248923,0.324436354,0.00900001,109.63,1.168
25,101.6239041,190314.4446,0.712668738,0.297593819,0.009000024,109.63,1.168
26,100.2167654,190984.2344,0.713468948,0.299675877,0.00900003,109.63,1.168
27,93.52920492,195185.2417,0.72520276,0.31020531,0.009000066,109.63,1.168
28,100.7552285,193435.3657,0.715611198,0.298873885,0.009000021,109.63,1.168
29,96.74737698,195207.2069,0.723824061,0.305001555,0.009000017,109.63,1.168
30,87.61929603,206909.3142,0.740425758,0.320495004,0.008999995,109.63,1.168
31,97.29775864,194871.9989,0.715619069,0.304136912,0.008999971,109.63,1.168
32,96.31029582,193897.8863,0.713440015,0.305693156,0.009000034,109.63,1.168
33,88.57740704,197783.848,0.719473052,0.31875713,0.009000006,109.63,1.168
34,99.23023572,192926.1204,0.719376163,0.301161822,0.009000028,109.63,1.168
35,96.14352748,194116.6336,0.716119875,0.305957952,0.009000021,109.63,1.168
36,96.23954576,195791.1108,0.713620602,0.305805962,0.009000061,109.63,1.168
37,96.75221189,193530.8606,0.710498329,0.304994245,0.009000035,109.63,1.168
38,98.7287458,193422.7523,0.722750909,0.301925528,0.009000016,109.63,1.168
39,95.74799812,196782.9733,0.721944782,0.306589153,0.009000016,109.63,1.168
40,94.39331588,192873.1759,0.711088858,0.308781251,0.009000012,109.63,1.168
41,89.10241374,198048.4413,0.74496645,0.317816467,0.008999995,109.63,1.168
42,95.08910064,196624.5088,0.717208044,0.307649838,0.009000033,109.63,1.168
43,100.272327,194937.62,0.707818713,0.29959293,0.009000035,109.63,1.168
44,95.01840724,188777.7808,0.709592111,0.307764204,0.00900003,109.63,1.168
45,92.20349343,191791.8809,0.727040281,0.31242588,0.008999977,109.63,1.168
46,91.65254254,201183.3485,0.724423777,0.313364515,0.009000034,109.63,1.168
47,100.679172,188577.5953,0.714341595,0.298987044,0.009000039,109.63,1.168
48,97.16817028,197626.9893,0.713167774,0.304339878,0.008999984,109.63,1.168
49,96.46116214,189793.5217,0.711443142,0.305453397,0.008999998,109.63,1.168
50,95.80384711,199646.5822,0.730971716,0.306499279,0.008999987,109.63,1.168
51,92.9896586,207237.6783,0.726388178,0.311103767,0.009000056,109.63,1.168
52,98.54501208,198638.7609,0.712143451,0.302206459,0.008999992,109.63,1.168
53,99.23973475,192460.8395,0.716844031,0.301146846,0.008999994,109.63,1.168
54,105.8184758,192424.0045,0.706145568,0.291636354,0.009000048,109.63,1.168
55,90.33607444,199196.1458,0.736700746,0.315639207,0.009000012,109.63,1.168
56,98.90123544,198664.3858,0.718984329,0.30166185,0.009,109.63,1.168
57,102.4999011,192092.5542,0.705149976,0.296319379,0.009000022,109.63,1.168
58,92.73088568,197437.8534,0.724486862,0.31153771,0.009000065,109.63,1.168
59,94.43850146,197947.759,0.736624352,0.308707754,0.009000034,109.63,1.168
60,93.53044821,195517.0797,0.709768763,0.310201981,0.008999993,109.63,1.168
61,96.96598362,196014.7405,0.726540728,0.304657635,0.009000021,109.63,1.168
62,99.98402244,201308.8445,0.713142007,0.300024219,0.009000015,109.63,1.168
