# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 1.341662764549255371e+00 1.142462849617004395e+00
1.000000000000000000e+03 2.408339059911668301e-05 1.014871895313262939e-02
2.000000000000000000e+03 1.127071936934953555e-05 9.515533223748207092e-03
3.000000000000000000e+03 7.700211426708847284e-06 8.437411859631538391e-03
4.000000000000000000e+03 1.746212910802569240e-05 7.515550591051578522e-03
5.000000000000000000e+03 2.920874612755142152e-05 6.682357285171747208e-03
6.000000000000000000e+03 5.944883741904050112e-05 5.409376230090856552e-03
7.000000000000000000e+03 2.372529024796676822e-06 5.171114113181829453e-03
8.000000000000000000e+03 1.683330424384621438e-06 4.789161030203104019e-03
9.000000000000000000e+03 1.205812168336706236e-06 4.494220018386840820e-03
1.000000000000000000e+04 2.778924499580170959e-05 4.042504355311393738e-03
