  Complexity 15 | MSE = 26.63066 | Validation MSE = 23.78392 | Eqn: x1*(1.2478191 - x2)*0.0007436078/x3 - (x0 + x2) - 8.607691
  Complexity 17 | MSE = 26.62313 | Validation MSE = 23.56616 | Eqn: x1*0.0007619576*(1.2433811 - x2)/x3 + (-(x0 + x2) - 8.660705)*1.0349286
  Complexity 18 | MSE = 26.62181 | Validation MSE = 23.78397 | Eqn: x1*0.0007436119*(1.2478106 - x2)/x3 + (-(x0 + x2) - 8.602217)*exp(x9)
  Complexity 20 | MSE = 26.61881 | Validation MSE = 23.77204 | Eqn: (1.2478191 - x2)*x1*0.00074361986/x3 - x8 + (-(x0 + x2) - 8.607691)*exp(x9)
  Best Complexity 20 | MSE = 9.35377 | Validation MSE = 10.26441 | Eqn: sqrt(x0) - 1.9593967*x0 + x1*(x2*(4.2665602e-7*x0 - 0.001173368) + 0.0013297925)/x3
  Complexity 1 | MSE = 3313.97390 | Validation MSE = 3275.16781 | Eqn: x0
  Complexity 3 | MSE = 2129.25270 | Validation MSE = 2212.97284 | Eqn: x1**0.37704954
  Complexity 5 | MSE = 222.98154 | Validation MSE = 229.63846 | Eqn: x1*0.0002119437/x3
  Complexity 7 | MSE = 207.94365 | Validation MSE = 213.48076 | Eqn: (x1/x3)**0.9141052*0.0006804371
  Complexity 8 | MSE = 69.96199 | Validation MSE = 72.98349 | Eqn: 0.00018180834*x1/(sqrt(x2)*x3)
  Complexity 9 | MSE = 53.20201 | Validation MSE = 56.31686 | Eqn: x1*(0.00033004634 + x2*(-0.00015691479))/x3
  Complexity 10 | MSE = 48.66549 | Validation MSE = 52.25657 | Eqn: (x1*0.0004778847/x3 - 1*23.374033)/exp(x2)
  Complexity 11 | MSE = 37.69903 | Validation MSE = 40.60352 | Eqn: x1*(0.00036307058 + x2*(-0.00018256732))/x3 - 1*10.210713
  Complexity 12 | MSE = 28.21911 | Validation MSE = 29.96056 | Eqn: -x0 + x1*(0.0010882596 + exp(x2)*(-0.0003424998))/x3
  Complexity 13 | MSE = 25.93683 | Validation MSE = 27.30732 | Eqn: -x0 + x1*(0.00092927174 + x2*(-0.00074524037))/x3 - 9.428487
  Complexity 14 | MSE = 24.11864 | Validation MSE = 25.92013 | Eqn: -x0 + x1*(0.0011077432 + exp(x2)*(-0.0003483565))/x3 - 5.1788116
  Complexity 15 | MSE = 15.18518 | Validation MSE = 16.33663 | Eqn: -x0 + x1*(x2*(x0*3.0360331e-7 - 0.00068695773) + 0.0008489248)/x3
  Complexity 17 | MSE = 10.64329 | Validation MSE = 11.89898 | Eqn: -x0**1.1004016 + x1*(x0*4.5372968e-7 + x2*(-0.0009771244) + 0.001129899)/x3
  Complexity 19 | MSE = 9.77907 | Validation MSE = 10.56980 | Eqn: x0*(-1.8844212) + x1*(x2*(x0*4.2666053e-7 - 0.0011611303) + 0.0013173196)/x3 + 4.452481
  Complexity 20 | MSE = 9.35377 | Validation MSE = 10.26441 | Eqn: sqrt(x0) - 1.9593967*x0 + x1*(x2*(4.2665602e-7*x0 - 0.001173368) + 0.0013297925)/x3
  Best Complexity 20 | MSE = 107.83612 | Validation MSE = 106.86059 | Eqn: (0.24441579 - 0.14786462/log(x2))*(-1.51940684423194*x4 + 11.3609423491101*(0.11600466477958*x0 - 0.11600466477958*x3 + 1)**1.1281525) - 5.6119003
  Complexity 1 | MSE = 3302.24900 | Validation MSE = 3322.08732 | Eqn: x0
  Complexity 3 | MSE = 2145.38130 | Validation MSE = 2148.36869 | Eqn: x1**0.37718648
  Complexity 5 | MSE = 706.10913 | Validation MSE = 695.43345 | Eqn: 166.37471**x2 + x0
  Complexity 7 | MSE = 250.24232 | Validation MSE = 264.87607 | Eqn: x0*(-0.4105958)/(x2 - 1.023863)
  Complexity 8 | MSE = 146.31871 | Validation MSE = 151.45289 | Eqn: x0*(0.46066624 - 0.2870346/log(x2))
  Complexity 9 | MSE = 123.86919 | Validation MSE = 118.71554 | Eqn: x0*(-0.39695686/(x2 - 0.98850715))**0.7595506
  Complexity 11 | MSE = 117.96352 | Validation MSE = 117.21878 | Eqn: x0*(-1*(-0.4245497) - 0.26880148/(x2 - 0.99288315)) - 10.155784
  Complexity 12 | MSE = 111.75346 | Validation MSE = 113.26207 | Eqn: 13.9100049694768*(0.14743309 - 0.107716314/log(x2))*(0.110779474291574*x0 + 1)**1.1965239
  Complexity 14 | MSE = 109.86324 | Validation MSE = 111.43368 | Eqn: 9.54246951362416*(0.26219806 - 0.1560124/log(x2))*(0.132990483865927*x0 + 1)**1.1181052 - 7.2138286
  Complexity 15 | MSE = 109.57630 | Validation MSE = 108.30025 | Eqn: (x0 + 3.656677)*((-0.31992286/(x2 - 0.99374574))**0.863047 - 1*(-0.2670748)) - 13.953702
  Complexity 16 | MSE = 108.59167 | Validation MSE = 108.10539 | Eqn: (0.2531322 - 0.15241556/log(x2))*(-x4 + 9.68019206250637*(0.132343860052191*x0 + 1)**1.122496) - 6.0024467
  Complexity 18 | MSE = 108.06490 | Validation MSE = 107.84651 | Eqn: (0.27876323 - 0.1625949/log(x2))*(-x4 + 10.0361185209199*(0.124905368570137*x0 - 0.124905368570137*x3 + 1)**1.1086394) - 6.9317856
  Complexity 20 | MSE = 107.83612 | Validation MSE = 106.86059 | Eqn: (0.24441579 - 0.14786462/log(x2))*(-1.51940684423194*x4 + 11.3609423491101*(0.11600466477958*x0 - 0.11600466477958*x3 + 1)**1.1281525) - 5.6119003

=== Summary ===
Best MSE       = 9.35377
Best Equation  = sqrt(x0) - 1.9593967*x0 + x1*(x2*(4.2665602e-7*x0 - 0.001173368) + 0.0013297925)/x3
Held-out MSE   = 10.48439
