C (GPa),dP/dh (N/m),Wp/Wt,hm (um),Er (GPa),sy (GPa)
144.1663087,199002.6465,0.717201646,0.249856186,109.63,1.121
135.9961577,203913.5545,0.735824456,0.257251471,109.63,1.121
137.3832936,202007.3402,0.724587642,0.25594952,109.63,1.121
138.1013696,203227.5041,0.72661344,0.255283278,109.63,1.121
137.0214402,203725.9337,0.724778531,0.256287726,109.63,1.121
144.8533938,203009.2246,0.723594565,0.249263127,109.63,1.121
134.5446002,208152.632,0.739541732,0.25863561,109.63,1.121
129.1945166,209073.2153,0.73354484,0.263936337,109.63,1.121
136.735929,200481.6058,0.728965435,0.256554963,109.63,1.121
132.4797796,200707.0973,0.730586191,0.260643008,109.63,1.121
138.5548562,198197.8902,0.717572203,0.254865763,109.63,1.121
101.5952358,203357.5179,0.718689982,0.297635006,109.63,1.121
116.6055622,207365.2084,0.735517105,0.277819381,109.63,1.121
142.680614,206886.4217,0.721123085,0.251153602,109.63,1.121
131.4197476,203383.7169,0.736321977,0.261692915,109.63,1.121
179.537847,200672.6042,0.696906096,0.223895049,109.63,1.121
125.6077334,210023.9674,0.744544635,0.267678737,109.63,1.121
147.7935414,207093.3628,0.730666074,0.246770938,109.63,1.121
131.3237385,204226.648,0.725846129,0.261788238,109.63,1.121
132.9440072,206770.7078,0.736028203,0.260187674,109.63,1.121
133.6269145,210193.307,0.744136061,0.25952166,109.63,1.121
142.2408127,203309.8186,0.728285115,0.25154125,109.63,1.121
142.1013274,197183.7355,0.718773746,0.25166568,109.63,1.121
117.4613651,210797.1563,0.7223787,0.276805036,109.63,1.121
138.9640605,204263.3967,0.735476619,0.254489494,109.63,1.121
136.0780795,206071.3603,0.73414051,0.257174793,109.63,1.121
133.3227923,196839.7193,0.708116974,0.259818141,109.63,1.121
151.4204041,197112.477,0.706752122,0.243797503,109.63,1.121
140.1019887,205770.2253,0.724675081,0.253454859,109.63,1.121
173.4934395,200790.3051,0.717617817,0.227762035,109.63,1.121
135.5897659,204338.7045,0.731823383,0.257637368,109.63,1.121
137.7657087,206143.0193,0.723503443,0.255594678,109.63,1.121
141.2794418,202486.862,0.721792903,0.252396009,109.63,1.121
134.2516464,202023.3669,0.727715366,0.258918094,109.63,1.121
129.1208932,206051.823,0.732380894,0.26401175,109.63,1.121
137.3741843,197526.3807,0.7199892,0.255958396,109.63,1.121
130.6572116,202914.8373,0.728188682,0.262455538,109.63,1.121
143.6178546,198360.7928,0.728373632,0.250333127,109.63,1.121
150.8485967,201091.0083,0.72363085,0.244259643,109.63,1.121
141.659364,200035.4425,0.717841232,0.252057552,109.63,1.121
133.3539018,200524.3189,0.73507453,0.259788201,109.63,1.121
142.372779,198707.718,0.724256176,0.251425279,109.63,1.121
129.4569257,206248.2083,0.733759737,0.263669507,109.63,1.121
132.0497869,196812.7913,0.729603199,0.261068105,109.63,1.121
155.3663461,194642.0883,0.715312967,0.240681997,109.63,1.121
124.9095359,208457.8497,0.741872151,0.268425536,109.63,1.121
135.8185787,204196.7781,0.73433352,0.25741965,109.63,1.121
132.0989092,211252.6277,0.729175514,0.261019291,109.63,1.121
